Slip Ratio,FZ = 300 N,FZ = 500 N,FZ = 700 N,FZ = 900 N,FZ = 1100 N
0.07400000000000001,569.0056618329737,1003.4267940789991,1434.6700642790506,1841.4524123201322,2172.1279006275668
0.07600000000000001,573.1433803928944,1008.0405736368716,1438.4892404551674,1845.7378604043313,2178.1093773977727
0.07800000000000001,576.9903025996311,1012.2226198582022,1441.8089344014872,1849.5583854971424,2183.646643239618
0.08000000000000002,580.5639499398591,1015.999744023243,1444.6613937776428,1852.9465709793697,2188.768337512674
0.08200000000000002,583.8810906340099,1019.3974468648715,1447.0771191047445,1855.933076310827,2193.5012595974326
0.08400000000000002,586.9577340551728,1022.4399425582596,1449.0849241982364,1858.5467239563263,2197.87045094415
0.08600000000000002,589.8091317508661,1025.1501887418044,1450.7119997681898,1860.814586218901,2201.8992762441158
0.08800000000000002,592.4497840606963,1027.549921360159,1451.9839791289853,1862.76207126283,2205.609503225927
0.09000000000000002,594.8934514165776,1029.6596932649006,1452.9250051157053,1864.4130077387647,2209.02138067265
0.09200000000000003,597.1531695040005,1031.4989156427587,1453.557797443979,1865.789727536873,2212.15371433748
0.09400000000000003,599.241267551266,1033.0859014649395,1453.9037198743354,1866.9131462928315,2215.023940506685
0.09600000000000003,601.1693890975071,1034.437910263735,1453.9828466521628,1867.8028413570332,2217.64819702025
0.09800000000000003,602.9485146689566,1035.571193644523,1453.8140277912394,1868.4771270109125,2220.041391613666
0.10000000000000003,604.5889858658284,1036.5010410327284,1453.4149528534651,1868.9531267770346,2222.2172674896383
0.10200000000000004,606.100530429111,1037.2418252368811,1452.8022129510402,1869.2468427228034,2224.1884660669825
0.10400000000000004,607.492287917532,1037.8070474811432,1451.9913607608783,1869.373221702367,2225.966586886361
0.10600000000000004,608.7728356799853,1038.209381624274,1450.996968395616,1869.3462185185997,2227.562244679588
0.10800000000000004,609.950214858092,1038.4607173376269,1449.8326830220497,1869.1788560178345,2228.985123631604
0.11000000000000004,611.0319561975299,1038.572202063133,1448.5112801572034,1868.8832821551403,2230.2440288824628
0.11200000000000004,612.0251054856734,1038.5542816140357,1447.044714605259,1868.4708240881878,2231.3469353314085
0.11400000000000005,612.9362484673029,1038.4167393170078,1445.4441690260917,1867.952039373741,2232.301033816747
0.11600000000000005,613.7715351200414,1038.1687336248992,1443.720100148815,1867.3367643532192,2233.1127747541855
0.118,614.5367031971454,1037.8188341552748,1441.882282662206,1866.6341598230897,2233.7879093230595
0.12,615.2371009676899,1037.3750561316701,1439.939850828702,1865.852754092559,2234.3315282946423
0.122,615.8777091034071,1036.844893222632,1437.901337880361,1865.000483535546,2234.7480985999064
0.124,616.4631616778034,1036.2353487885591,1435.7747132642012,1864.084730746605,2235.041497735904
0.126,616.9977662570105,1035.5529655585367,1433.5674178110753,1863.11236041162,2235.2150461105966
0.128,617.485523073428,1034.803853769158,1431.2863969070581,1862.089753004019,2235.2715374256786
0.13,617.9301432828443,1033.993717805041,1428.9381317495156,1861.022836416131,2235.2132671959002
0.132,618.3350663136433,1033.127881386715,1426.5286687718808,1859.9171156334266,2235.0420595017235
0.134,618.7034763231318,1032.2113113560074,1424.0636473218703,1858.7777005567857,2234.7592920699963
0.136,619.038317781156,1031.2486401122374,1421.5483256777056,1857.6093320749135,2234.365919774778
0.138,619.3423102052084,1030.244186754639,1418.9876054859433,1856.4164064855747,2233.8624966476436
0.14,619.6179620743,1029.2019769876465,1416.386054703,1855.2029983606292,2233.2491964837463
0.14200000000000002,619.8675839511421,1028.1257618461461,1413.7479291204475,1853.972881945968,2232.525832126739
0.14400000000000002,620.0933008437726,1027.0190352976615,1411.0771925517834,1852.7295511834473,2231.691873512405
0.14600000000000002,620.2970638387667,1025.8850507778043,1408.3775357557531,1851.47623843789,2230.7464645475443
0.14800000000000002,620.4806610387118,1024.7268367142933,1405.6523941684577,1850.215932008164,2229.6884388973367
0.15000000000000002,620.645727836757,1023.5472110934996,1402.9049645135235,1848.9513924973398,2228.516334751171
0.15200000000000002,620.7937565608623,1022.3487951218874,1400.1382203565665,1847.6851681129956,2227.228408633664
0.15400000000000003,620.9261055199244,1021.1340260329549,1397.354926667111,1846.4196089648776,2225.8226483244866
0.15600000000000003,621.0440074832904,1019.9051690883806,1394.557653448041,1845.1568804233902,2224.296784947556
0.15800000000000003,621.1485776243522,1018.6643288200947,1391.748788489639,1843.8989755987898,2222.64830428718
0.16000000000000003,621.2408209579578,1017.4134595579517,1388.930549302249,1842.6477269974591,2220.874457385949
0.16200000000000003,621.3216393003362,1016.1543752856234,1386.1049942787167,1841.4048174083312,2218.9722704764026
0.16400000000000003,621.3918377791231,1014.8887588652678,1383.2740331349053,1840.1717900693334,2216.938554295957
0.16600000000000004,621.4521309199173,1013.6181706694824,1380.4394366738566,1838.9500581606878,2214.7699128320505
0.16800000000000004,621.5031483346247,1012.3440566570509,1377.6028459165493,1837.7409136690346,2212.462751542176
0.17000000000000004,621.5454400356615,1011.0677559270255,1374.765780639661,1836.5455356635784,2210.0132850911964
0.17200000000000004,621.5794813989035,1009.79050778379,1371.9296473583547,1835.3649980229022,2207.4175446462787
0.17400000000000004,621.6056777971085,1008.5134583439066,1369.095746789796,1834.200276648614,2204.6713847677697
0.17600000000000005,621.6243689243888,1007.2376667137796,1366.265280830929,1833.052256199694,2201.7704899324985
0.17800000000000005,621.6358328312009,1005.9641107654755,1363.4393590819725,1831.9217363792313,2198.710380724215
0.18,621.6402896882419,1004.6936925364084,1360.6190049451209,1830.8094378031815,2195.48641972424
0.182,621.637905296593,1003.4272432770624,1357.805161326094,1829.716007478851,2192.0938171338635
0.184,621.6287943604589,1002.1655281694403,1354.998695964421,1828.642023919011,2188.5276361585707
0.186,621.6130235378861,1000.9092507375387,1352.2004064166845,1827.588001915825,2184.7827981828323
0.188,621.5906142839297,999.659056969819,1349.4110247154183,1826.5543969971984,2180.8540877629393
0.19,621.5615454998683,998.4155391723987,1346.6312217248626,1825.5416095866567,2176.7361574641604
0.192,621.5257560012346,997.1792395704972,1343.8616112134239,1824.5499888864554,2172.4235325674235
0.194,621.4831468166452,995.9506536745627,1341.1027536613929,1823.5798365023275,2167.910615669668
0.196,621.4335833286724,994.7302334264486,1338.3551598212555,1822.6314098270375,2163.191691201077
0.198,621.3768972672908,993.518390140027,1335.6192940468109,1821.704925198769,2158.2609298814677
0.2,621.3128885657792,992.3154972496885,1332.8955774062333,1820.8005608493145,2153.112393137301
0.202,621.2413270883234,991.1218928793191,1330.1843905932233,1819.9184596560158,2147.7400374999565
