Slip Angle (deg),IA = -4.0 deg,IA = -3.0 deg,IA = -2.0 deg,IA = -1.0 deg,IA = 0.0 deg,IA = 1.0 deg,IA = 2.0 deg,IA = 3.0 deg,IA = 4.0 deg
-19.6,-1357.4359185717476,-1373.6524225560734,-1385.291393791231,-1392.3718091439507,-1394.91681818297,-1397.5073721373121,-1395.5961288884923,-1389.174936912962,-1378.2376183783288
-19.4,-1358.4549316255477,-1374.685633297891,-1386.334963556677,-1393.421450056173,-1395.9678282586767,-1398.5516856645995,-1396.6306455209674,-1390.1967613875145,-1379.2440216122504
-19.2,-1359.4809382917408,-1375.72655784531,-1387.386978787786,-1394.4802569610717,-1397.0286917203018,-1399.6054539084105,-1397.674247824156,-1391.2273396872033,-1380.2588896695838
-19.0,-1360.5137239890323,-1376.7750184602505,-1388.447301524198,-1395.5481335280826,-1398.099354650153,-1400.6686060826376,-1398.7268518209469,-1392.2665785667657,-1381.282124117209
-18.799999999999997,-1361.5530477944803,-1377.8308132124077,-1389.515771978778,-1396.6249641233978,-1399.1797464511437,-1401.7410540006413,-1399.7883556683241,-1393.3143667119214,-1382.3136085142953
-18.6,-1362.5986402086555,-1378.8937138876192,-1390.5922066045337,-1397.710612047317,-1400.269778262947,-1402.822690462059,-1400.858638032615,-1394.370573120773,-1383.3532068172876
-18.4,-1363.650200730661,-1379.9634637168376,-1391.6763959940488,-1398.8049176169447,-1401.3693412370355,-1403.9133874977795,-1401.9375563235026,-1395.4350453458496,-1384.40076164863
-18.2,-1364.7073952257965,-1381.0397749093793,-1392.7681025960806,-1399.9076960799625,-1402.4783046574682,-1405.012994460023,-1403.0249447739134,-1396.5076075841775,-1385.4560924169898
-18.0,-1365.7698530669657,-1382.1223259725225,-1393.8670582324776,-1401.0187353437868,-1403.5965138929598,-1406.1213359431558,-1404.120612351639,-1397.5880586015476,-1386.5189932755482
-17.799999999999997,-1366.8371640290648,-1383.2107587977614,-1394.9729613968939,-1402.1377935028638,-1404.7237881643412,-1407.23820951946,-1405.2243404871297,-1398.6761694757784,-1387.5892309036362
-17.6,-1367.9088749135515,-1384.3046754920615,-1396.085474314929,-1403.2645961451126,-1405.8599181098775,-1408.363383272492,-1406.3358806003885,-1399.771681142306,-1388.6665420955464
-17.4,-1368.984485878103,-1385.4036349302985,-1397.2042197432777,-1404.3988334166172,-1407.0046631291634,-1409.4965931089055,-1407.4549514081655,-1400.8743017237532,-1389.750631138769
-17.2,-1370.0634464437762,-1386.5071490026714,-1398.3287774832006,-1405.540156821526,-1408.1577484842976,-1410.637539827688,-1408.5812359907704,-1401.9837036233223,-1390.8411669621355
-17.0,-1371.1451511492796,-1387.6146785282128,-1399.4586805811177,-1406.6881757317747,-1409.3188621348772,-1411.7858859235957,-1409.7143785957328,-1403.0995203598277,-1391.937780032422
-16.799999999999997,-1372.2289348189008,-1388.725628802583,-1400.593411186328,-1407.8424535786057,-1410.4876512808814,-1412.9412520991932,-1410.8539811532085,-1404.2213431199373,-1393.040058975807
-16.6,-1373.314067407184,-1389.839344745056,-1401.7323960327667,-1409.0025036949578,-1411.6637185848158,-1414.1032134572422,-1411.9995994754681,-1405.348717000714,-1394.1475468981869
-16.4,-1374.3997483796743,-1390.9551056059827,-1402.8750015082635,-1410.167784774553,-1412.8466180414625,-1415.2712953422442,-1413.150739109934,-1406.4811369127947,-1395.2597373757385
-16.2,-1375.4851005848147,-1392.0721191919774,-1404.0205282709376,-1411.337695909909,-1414.035850460211,-1416.4449687966605,-1414.30685081206,-1407.6180431114792,-1396.376070084157
-16.0,-1376.5691635673872,-1393.1895155615914,-1405.1682053681104,-1412.5115711674882,-1415.2308585212131,-1417.6236455936787,-1415.467325600825,-1408.758816319612,-1397.4959260317783
-15.799999999999999,-1377.6508862686953,-1394.3063401392467,-1406.3171838083736,-1413.6886736537276,-1416.4310213624037,-1418.806672804343,-1416.6314893556723,-1409.9027724023595,-1398.6186223581678
-15.6,-1378.7291190528583,-1395.421546189654,-1407.4665295321668,-1414.868189020707,-1417.6356486497841,-1419.993326852325,-1417.7985969093645,-1411.049156549799,-1399.7434066557594
-15.399999999999999,-1379.802604992159,-1396.533986588747,-1408.6152157203405,-1416.0492183546583,-1418.8439740781469,-1421.1828070045744,-1418.967825586347,-1412.197136918551,-1400.8694507676748
-15.2,-1380.8699703371774,-1397.6424048202757,-1409.7621143736053,-1417.2307703843078,-1420.0551482436076,-1422.3742282404403,-1420.1382681308016,-1413.3457976785046,-1401.9958440098887
-15.0,-1381.9297140894357,-1398.7454251195168,-1410.9059870884478,-1418.4117529391137,-1421.268230822795,-1423.5666134355781,-1421.3089249624963,-1414.494131404878,-1403.1215857604043
-14.799999999999999,-1382.980196585354,-1399.8415416769712,-1412.0454749469095,-1419.5909635797063,-1422.4821819862805,-1424.7588847899076,-1422.4786956918092,-1415.6410307494184,-1404.2455773519494
-14.6,-1384.0196269903352,-1400.929106805358,-1413.1790874284825,-1420.767079314179,-1423.6958529656645,-1425.9498544210467,-1423.64636981774,-1416.7852793173267,-1405.3666131978703
-14.399999999999999,-1385.0460495906962,-1402.0063179625051,-1414.3051902421487,-1421.9386453041661,-1424.9079756846104,-1427.1382140358328,-1424.810616524319,-1417.9255416684732,-1406.4833710732669
-14.2,-1386.0573287587245,-1403.0712035107936,-1415.421991965164,-1423.1040624537904,-1426.1171513538673,-1428.322523582706,-1425.9699734813817,-1419.0603523524906,-1407.5944014649067
-14.0,-1387.0511324522863,-1404.1216070804471,-1416.5275293623788,-1424.2615737623685,-1427.3218379188313,-1429.5011987766986,-1427.1228345451582,-1420.188103877311,-1408.698115893962
-13.8,-1388.0249140949013,-1405.155170389005,-1417.6196512455626,-1425.4092493081423,-1428.5203362352997,-1430.6724973764135,-1428.2674362423277,-1421.307033499513,-1409.792774105008
-13.599999999999998,-1388.9758926648828,-1406.169314352603,-1418.6960007161417,-1426.5449697149568,-1429.7107748345595,-1431.8345040784995,-1429.4018429079786,-1422.4152087123125,-1410.8764700028914
-13.399999999999999,-1389.9010308027734,-1407.1612183059526,-1419.7539956167566,-1427.6664079366406,-1430.8910931226812,-1432.9851138795916,-1430.5239303331318,-1423.5105112930262,-1411.9471162058358
-13.2,-1390.797010724642,-1408.1277971269585,-1420.790806996877,-1428.7710091745398,-1432.0590228405422,-1434.122013738205,-1431.6313677609016,-1424.590619756146,-1413.0024270683684
-13.0,-1391.6602077045882,-1409.0656760384284,-1421.8033353750786,-1429.8559687219627,-1433.2120675904985,-1435.242662349464,-1432.721598051776,-1425.6529900406038,-1414.0399000111202
-12.8,-1392.486660862707,-1409.9711628330426,-1422.7881845551847,-1430.9182075049498,-1434.3474802124026,-1436.3442678235065,-1433.7918158176503,-1426.6948342401502,-1415.0567949760475
-12.599999999999998,-1393.272040964459,-1410.8402172382937,-1423.7416327250078,-1431.9543450613653,-1435.462237765516,-1437.4237630336324,-1434.8389433008629,-1427.7130971637305,-1416.050111804943
-12.399999999999999,-1394.0116149035202,-1411.6684171051113,-1424.659600534434,-1432.9606696695334,-1436.553013843412,-1438.4777783724096,-1435.8596037482157,-1428.7044304880776,-1417.0165653159518
-12.2,-1394.7002065022932,-1412.450921066943,-1425.5376158137253,-1433.9331053029878,-1437.6161479157552,-1439.5026116226359,-1436.8500920005142,-1429.6651642370784,-1417.9525578269115
-12.0,-1395.3321532219554,-1413.182427274687,-1426.370774552655,-1434.867175048957,-1438.647611353415,-1440.494194614816,-1437.80634198508,-1430.5912752915015,-1418.8541488453652
-11.8,-1395.901258326651,-1413.8571277665749,-1427.1536977159233,-1435.757960584398,-1439.6429697511692,-1441.448056303206,-1438.72389076158,-1431.4783525979556,-1419.7170216126715
-11.599999999999998,-1396.4007379937161,-1414.4686579803208,-1427.8804834196544,-1436.600057254127,-1440.59734111467,-1442.3592818478876,-1439.597838729854,-1432.3215587070836,-1420.5364461534148
-11.399999999999999,-1396.8231628030612,-1415.0100408569729,-1428.544653937012,-1437.387524240223,-1441.505349424687,-1443.2224672402458,-1440.4228055617043,-1433.115587227466,-1421.3072384407828
-11.2,-1397.1603929734447,-1415.4736249213172,-1429.1390969374056,-1438.1138292496694,-1442.3610730311916,-1444.0316689528752,-1441.1928813662032,-1433.8546157330074,-1422.0237152433392
-11.0,-1397.4035066407216,-1415.8510156516493,-1429.6560002926328,-1438.7717870773486,-1443.1579872616865,-1444.7803480316682,-1441.9015725393588,-1434.532253607126,-1422.6796441680974
-10.799999999999997,-1397.5427203926108,-1416.132999371597,-1430.0867797038636,-1439.3534913231506,-1443.8889005514818,-1445.4613079767773,-1442.5417416832438,-1435.1414842462304,-1423.2681883584874
-10.599999999999998,-1397.5673011854826,-1416.3094588076722,-1430.4219983147227,-1439.850238454191,-1444.5458833172795,-1446.0666256794793,-1443.1055409061669,-1435.674600977107,-1423.781845243091
-10.399999999999999,-1397.4654686705626,-1416.3692793576752,-1430.6512773771162,-1440.2524433049396,-1445.1201886984143,-1446.5875745927094,-1443.5843377333658,-1436.1231359672515,-1424.2123786613208
-10.2,-1397.224286849257,-1416.300245006273,-1430.7631969269014,-1440.549544998467,-1445.6021641811988,-1447.0145392132426,-1443.9686327662016,-1436.4777813231435,-1424.5507436148732
-10.0,-1396.8295438597509,-1416.0889227044913,-1430.745185305358,-1440.729902149961,-1445.9811529998467,-1447.3369198421342,-1444.2479681260434,-1436.7283014782888,-1424.787002808252
-9.799999999999997,-1396.2656185694773,-1415.7205338990545,-1430.583396228836,-1440.780676078167,-1446.24538407109,-1447.5430264660738,-1444.410825606204,-1436.8634358698305,-1424.910234047275
-9.599999999999998,-1395.515332510763,-1415.1788117553733,-1430.2625719625316,-1440.6877006005739,-1446.381849067657,-1447.619960464803,-1444.4445133305535,-1436.8707907890723,-1424.9084274608174
-9.399999999999999,-1394.5597855507067,-1414.4458424647712,-1429.7658909947452,-1440.4353368232612,-1446.3761650670353,-1447.5534826977812,-1444.3350395802495,-1436.7367191668686,-1424.7683713976908
-9.2,-1393.3781735325801,-1413.501888863069,-1429.074798435442,-1440.006311155943,-1446.2124210253978,-1447.32786635624,-1444.0669722998853,-1436.4461869192612,-1424.4755257273803
-9.0,-1391.947585967252,-1412.3251944155854,-1428.1688171783312,-1439.3815345869004,-1445.8730061215247,-1446.9257327842222,-1443.6232826311937,-1435.9826243320354,-1424.0138811404786
-8.799999999999997,-1390.2427816930897,-1410.8917654457537,-1427.0253376706873,-1438.5399010419956,-1445.3384177917692,-1446.3278682744003,-1442.985170646665,-1435.3277608055769,-1423.3658029026894
-8.599999999999998,-1388.2359402671557,-1409.1751293051793,-1425.6193839329003,-1437.4580624284981,-1444.587047035126,-1445.5130196322177,-1442.1318712681602,-1434.461441114777,-1422.5118573664631
-8.399999999999999,-1385.8963867073178,-1407.1460660086152,-1423.9233532649796,-1436.1101777313095,-1443.5949383088816,-1444.4576660772461,-1441.0404381589594,-1433.3614211649003,-1421.4306193887635
-8.2,-1383.1902870854256,-1404.7723106971605,-1421.9067268772728,-1434.4676332914707,-1442.3355210633672,-1443.1357648170554,-1439.6855031752993,-1432.0031410468687,-1420.0984586454979
-8.0,-1380.0803123914693,-1402.0182241601472,-1419.535748497939,-1432.4987311626123,-1440.7793096844384,-1441.5184673919678,-1438.0390087608025,-1430.3594730195734,-1418.4893026777142
-7.799999999999997,-1376.5252680687179,-1398.8444285585367,-1416.773067855132,-1430.1683422219232,-1438.8935683330171,-1439.5738036572873,-1436.0699104725222,-1428.4004418803331,-1416.5743743588905
-7.599999999999998,-1372.4796866883514,-1395.207405474758,-1413.5773458280205,-1427.4375205250074,-1436.6419369051391,-1437.2663300553706,-1433.7438466523138,-1426.0929150383981,-1414.3219013465232
-7.399999999999999,-1367.8933814264758,-1391.0590534985572,-1409.902818035932,-1424.2630752621478,-1433.9840141020625,-1434.5567386508858,-1431.0227721184053,-1423.4002594956048,-1411.6967949885168
-7.199999999999999,-1362.7109583755785,-1386.346202789318,-1405.698813727134,-1420.5970966292728,-1430.874893424446,-1431.4014232833865,-1427.8645526720416,-1420.28196288357,-1408.660296114274
-7.0,-1356.8712863300825,-1381.010084489725,-1400.909227088867,-1416.3864320142702,-1427.264647824062,-1427.7519991657496,-1424.222517223755,-1416.6932157361243,-1405.1695851768882
-6.799999999999997,-1350.3069236134252,-1374.9857535783242,-1395.4719385952844,-1411.5721091771306,-1423.09775881133,-1423.5547723708676,-1420.0449644845514,-1412.5844523260173,-1401.177354359542
-6.599999999999998,-1342.9435028659498,-1368.2014648354582,-1389.318184827492,-1406.0887036489976,-1418.3124860952285,-1418.7501559635489,-1415.2746214938857,-1407.9008477152486,-1396.631339559524
-6.399999999999999,-1334.6990766192564,-1360.578003180481,-1382.371876452922,-1399.8636484932358,-1412.8401744149462,-1413.2720301309805,-1409.8480518407232,-1402.5817692222406,-1391.4738106733537
-6.199999999999999,-1325.4834291049428,-1352.0279718716213,-1374.5488658841107,-1392.8164859943497,-1406.6044952304635,-1407.0470446494598,-1403.6950123695779,-1396.5601813785997,-1385.6410193985396
-6.0,-1315.1973632801928,-1342.4550451332043,-1365.7561687310263,-1384.8580629387695,-1399.5206225293523,-1399.993863534662,-1396.7377585698703,-1389.7620047379014,-1379.062604932911
-5.799999999999997,-1303.7319767329857,-1331.7531959188143,-1355.891146741386,-1375.88967414095,-1391.4943443823504,-1392.022353932658,-1388.890300875922,-1382.1054307404033,-1371.6609596059375
