Slip Angle (deg),FZ = 300 N,FZ = 500 N,FZ = 700 N,FZ = 900 N,FZ = 1100 N
12.200000000000003,626.4460423844521,1032.0955240704611,1430.8246582901347,1825.0069684289213,2214.870845208676
12.400000000000006,626.2190296167873,1031.4825131866621,1429.8436820364923,1823.7923678928125,2213.7000784474335
12.600000000000001,625.9761964672603,1030.8481319961083,1428.8321135768797,1822.5263265858905,2212.43576209153
12.800000000000004,625.7188815695185,1030.1947073711074,1427.793673228004,1821.2148615679835,2211.0877036643224
13.0,625.4483224896666,1029.5243707612005,1426.7317514076954,1819.8634534550579,2209.6648629171855
13.200000000000003,625.1656639983097,1028.8390752119167,1425.6494383253146,1818.4770946637632,2208.175425561568
13.400000000000006,624.8719655874554,1028.1406107804346,1424.5495508352137,1817.0603331159034,2206.6268704201534
13.600000000000001,624.5682083091194,1027.4306185121713,1423.4346567420039,1815.617311848589,2205.0260305884754
13.800000000000004,624.2553010038336,1026.7106031241774,1422.3070968153415,1814.151804930924,2203.379149147524
14.0,623.9340859796772,1025.9819445252442,1421.1690047443562,1812.6672500477412,2201.69192992067
14.200000000000003,623.605344195792,1025.2459082885139,1420.0223252373453,1811.166778074546,2199.9695837245836
14.400000000000006,623.2697999984813,1024.5036551799355,1418.8688304506097,1809.6532399352325,2198.2168705235945
14.600000000000001,622.9281254528353,1023.7562498348755,1417.7101349109503,1808.129231004782,2196.4381378599965
14.800000000000004,622.5809443082679,1023.0046686654358,1416.5477090791394,1806.5971132928682,2194.6373558989344
15.0,622.2288356323244,1022.249807072387,1415.3828916863722,1805.059035620652,2192.818149395563
15.200000000000003,621.8723371435552,1021.4924860279344,1414.216900962065,1803.5169519818478,2190.983826863913
15.400000000000006,621.5119482710957,1020.7334580887301,1413.050844859216,1801.9726382601298,2189.137407201146
15.600000000000001,621.1481329657847,1019.9734128924657,1411.8857303727154,1800.4277074578579,2187.2816439974745
15.800000000000004,620.7813222851669,1019.2129821859899,1410.7224720363222,1798.8836235757915,2185.419047740691
16.0,620.4119167725015,1018.4527444280837,1409.5618996754029,1797.3417142697024,2183.551906104932
16.200000000000003,620.04028864793,1017.6932290057283,1408.404765484805,1795.803182397447,2181.682302495726
16.400000000000006,619.6667838281832,1016.9349200988754,1407.2517504943628,1794.2691165589708,2179.81213300746
16.6,619.2917237896417,1016.1782602252999,1406.1034704783524,1792.7405007217621,2177.943121934936
16.800000000000004,618.9154072881449,1015.4236534940517,1404.9604813596948,1791.2182230153137,2176.076835967631
17.0,618.538111947689,1014.6714685932786,1403.8232841547656,1789.7030837701066,2174.2146971833845
17.200000000000003,618.1600957290145,1013.9220415357319,1402.6923295002264,1788.1958028694041,2172.3579949475084
17.400000000000006,617.7815982880735,1013.1756781830563,1401.5680217993117,1786.6970264756187,2170.507896813582
17.6,617.4028422334503,1012.4326565679896,1400.4507230214472,1785.2073331871682,2168.66545851337
17.800000000000004,617.0240342909846,1011.6932290318048,1399.3407561858362,1783.7272396764604,2166.8316331153264
18.0,616.6453663831121,1010.957624192735,1398.2384085567976,1782.2572058548844,2165.0072794239054
18.200000000000003,616.2670166297602,1010.226048759669,1397.143934576009,1780.7976396064132,2163.1931696853517
18.400000000000006,615.8891502770454,1009.4986892041084,1396.0575585544905,1779.3489011275524,2161.389996659702
18.6,615.5119205594602,1008.7757133022019,1394.9794771450447,1777.9113069078865,2159.598380113345
18.800000000000004,615.1354695007587,1008.0572715576118,1393.9098616139718,1776.4851333823267,2157.8188727816223
19.0,614.7599286582923,1007.3434985150113,1392.8488599291666,1775.0706202833246,2156.051965846506
19.200000000000003,614.3854198151508,1006.6345139731453,1391.79659868014,1773.6679737187428,2154.2980939704025
19.400000000000006,614.0120556240912,1005.9304241056008,1390.75318484413,1772.277368998758,2152.5576399234733
19.6,613.6399402069079,1005.2313224967287,1389.7187074111803,1770.8989532330645,2150.8309388385737
19.800000000000004,613.2691697125948,1004.5372910995103,1388.6932388799319,1769.5328477177495,2149.1182821249026
20.0,612.899832837371,1003.8484011215768,1387.6768366348322,1768.1791501294874,2147.419921068742
20.200000000000003,612.5320113093959,1003.1647138450714,1386.6695442145237,1766.8379365431376,2145.736070147184
20.400000000000006,612.1657803407663,1002.4862813855466,1385.671392480327,1765.5092632874207,2144.0669100785003
20.6,611.8012090491895,1001.8131473946638,1384.6824006929583,1764.1931686520595,2142.41259063077
20.800000000000004,611.4383608515188,1001.1453477110583,1383.7025775049121,1762.8896744586068,2140.7732332085
21.0,611.0772938311867,1000.4829109633731,1382.7319218753235,1761.5987875061296,2139.1489332353217
21.200000000000003,610.7180610813924,999.8258591291344,1381.7704239135132,1760.3205009019468,2137.5397623492618
21.400000000000006,610.3607110257684,999.1742080528385,1380.8180656569255,1759.0547952867605,2135.9457704257256
21.6,610.0052877181126,998.5279679263477,1379.8748217886616,1757.8016399627033,2134.3669874420216
21.800000000000004,609.6518311226506,997.8871437344445,1378.9406602993945,1756.5609939321255,2132.803425196109
22.0,609.3003773761843,997.2517356681562,1378.015543098039,1755.3328068542698,2131.2550788911917
22.200000000000003,608.9509590333778,996.6217395082631,1377.0994265751965,1754.117019926383,2129.7219285968013
22.400000000000006,608.6036052963389,995.9971469812065,1376.1922621230663,1752.91356669528,2128.203940596134
22.6,608.2583422295687,995.3779460894359,1375.2939966151946,1751.722373804858,2126.7010686286135
